Price,Area,AddressStreet,AddressStreetNumber,District,BedroomQuantity,Link,Latitue,Longitude,Source
750000,75,rua felizardo furtado, 239,petrópolis,3,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/211280,-30.0461902,-51.1839284,GUARIDA
979000,192,avenida carlos gomes, 1891,petrópolis,3,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/212744,-30.0368588,-51.17541,GUARIDA
850000,127,avenida iguassu, 176,petrópolis,3,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/212756,-30.0406976,-51.1788315,GUARIDA
1599000,330,avenida iguassu, 51,petrópolis,4,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/casa-sobrado/212763,-30.0415836,-51.1794435,GUARIDA
520000,76,avenida coronel lucas de oliveira, 2608,petrópolis,2,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/212833,-30.045742,-51.1952493,GUARIDA
651000,105,avenida protasio alves, 4345,petrópolis,2,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/cobertura/206603,-30.0410008,-51.1683545,GUARIDA
849000,174,avenida coronel lucas de oliveira, 2320,petrópolis,2,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/cobertura/207978,-30.0432929,-51.1947977,GUARIDA
640000,83,rua coronel corte real, 65,petrópolis,3,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/208145,-30.041029,-51.1934252,GUARIDA
895000,77,rua mario antunes da cunha, 116,petrópolis,2,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/209397,-30.0425505,-51.1757368,GUARIDA
790000,112,avenida lageado, 1088,petrópolis,3,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/210566,-30.0359388,-51.1804964,GUARIDA
850000,110,rua luiz so, 80,petrópolis,3,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/209616,-30.0392183,-51.1932944,GUARIDA
799000,350,rua vitor hugo, 384,petrópolis,3,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/casa-sobrado/198765,-30.046734,-51.1889169,GUARIDA
830000,68,rua mario antunes da cunha, 511,petrópolis,1,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/59140,-30.042788,-51.176939000000004,GUARIDA
380000,65,avenida lavras, 400,petrópolis,2,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/210975,-30.03840749999999,-51.1876875,GUARIDA
349000,78,avenida itaqui, 269,petrópolis,3,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/210796,-30.0409901,-51.1883004,GUARIDA
279000,63,rua dona lucia, 33,petrópolis,2,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/207365,-30.0447462,-51.18482729999999,GUARIDA
499900,112,rua lagoinha, 43,petrópolis,3,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/209606,-30.0434821,-51.1811543,GUARIDA
2000000,323,rua felipe de oliveira, 999,petrópolis,4,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/casa-sobrado/52041,-30.044264,-51.1917737,GUARIDA
930000,121,rua faria santos, 466,petrópolis,3,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/211198,-30.0470769,-51.1906909,GUARIDA
980000,80,rua curvelo, 130,petrópolis,2,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/211696,-13.90108184065817,-50.713421874999995,GUARIDA
700000,121,rua coronel corte real, 863,petrópolis,3,https://www.guarida.com.br/detalhe/comprar/petropolis-porto-alegre-rs/apartamento/211846,-30.0481014,-51.195329,GUARIDA
